Server ID,Sponsor,Server Name,Server Lat,Server Lon,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
75360,Vivo,Palmeirópolis,-13.0424,-48.4073,2026-08-14T19:05:48.517333Z,935.3464784669817,55.293,145764828.18756747,129891221.42190884,,177.97.170.228
59921,Vivo,Aurora do Tocantins,-12.7128,-46.4082,2026-08-14T19:11:55.292837Z,954.28807465132,49.879,78605200.929756,63575960.801282264,,177.97.170.228
35510,Vivo,Dianópolis,-11.626,-46.8202,2026-08-14T19:18:02.132919Z,1074.803087949815,72.854,85337519.49469341,116428173.55580904,,177.97.170.228
59921,Vivo,Aurora do Tocantins,-12.7128,-46.4082,2026-08-14T19:24:16.301300Z,954.28807465132,46.352,65452288.861177586,72749311.41628155,,177.97.170.228
59921,Vivo,Aurora do Tocantins,-12.7128,-46.4082,2026-08-14T19:30:25.942791Z,954.28807465132,55.112,43242291.681284696,33482997.65050793,,177.97.170.228
59921,Vivo,Aurora do Tocantins,-12.7128,-46.4082,2026-08-14T19:36:40.830114Z,954.28807465132,49.802,78236215.58297299,67897110.0122321,,177.97.170.228
59921,Vivo,Aurora do Tocantins,-12.7128,-46.4082,2026-08-14T19:42:51.891347Z,954.28807465132,47.303,77108916.57105537,65605862.16737751,,177.97.170.228
35510,Vivo,Dianópolis,-11.626,-46.8202,2026-08-14T19:49:05.533811Z,1074.803087949815,54.014,268748245.6241195,121074676.1345388,,177.97.170.228
59921,Vivo,Aurora do Tocantins,-12.7128,-46.4082,2026-08-14T19:55:30.140590Z,954.28807465132,49.352,73542391.27979302,72015820.59307116,,177.97.170.228
59921,Vivo,Aurora do Tocantins,-12.7128,-46.4082,2026-08-14T20:01:46.188589Z,954.28807465132,48.622,72196897.0296194,65751073.16753917,,177.97.170.228
59921,Vivo,Aurora do Tocantins,-12.7128,-46.4082,2026-08-14T20:08:04.693533Z,954.28807465132,46.067,69148369.99236283,117965072.48784478,,177.97.170.228
